Id,FullName,Country,GroupID
M28383,Ana MATO ADROVER,Spain,PPE-DE
M23881,Marios MATSAKIS,Cyprus,ALDE
M28516,Yiannakis MATSIS,Cyprus,PPE-DE
M28575,Maria MATSOUKA,Greece,PSE
M28574,Manolis MAVROMMATIS,Greece,PPE-DE
M1337,Manuel MEDINA ORTEGA,Spain,PSE
M4508,Erik MEIJER,Netherlands,GUE/NGL
M4349,Rosa MIGUÉLEZ RAMOS,Spain,PSE
M28421,Marianne MIKKO,Estonia,PSE
M30099,Viktória MOHÁCSI,Hungary,ALDE
M28385,Cristobal MONTORO ROMERO,Spain,PPE-DE
M28347,Javier MORENO SÁNCHEZ,Spain,PSE
M2171,Eluned MORGAN,United Kingdom,PSE
M4453,Luisa MORGANTINI,Italy,GUE/NGL
M4332,Philippe MORILLON,France,ALDE
M28507,Ashley MOTE,United Kingdom,NonAttached
M28977,Roberto MUSACCHIO,Italy,GUE/NGL
M28121,Joseph MUSCAT,Malta,PSE
M4471,Francesco MUSOTTO,Italy,PPE-DE
M2062,Riitta MYLLER,Finland,PSE
M1065,Pasqualina NAPOLETANO,Italy,PSE
M1920,Hartmut NASSAUER,Germany,PPE-DE
M4522,Baroness NICHOLSON OF WINTERBOURNE,United Kingdom,ALDE
M28294,Ljudmila NOVAK,Slovenia,PPE-DE
M28230,Vural ÖGER,Germany,PSE
M28636,Péter OLAJOS,Hungary,PPE-DE
M22861,Seán Ó NEACHTAIN,Ireland,UEN
M1838,Gérard ONESTA,France,Verts/ALE
M28387,Janusz ONYSZKIEWICZ,Poland,ALDE
M4377,Josu ORTUONDO LARREA,Spain,ALDE
M28235,Cem ÖZDEMIR,Germany,Verts/ALE
M2301,Reino PAASILINNA,Finland,PSE
M28312,Borut PAHOR,Slovenia,PSE
M28571,Marie PANAYOTOPOULOS-CASSIOTOU,Greece,PPE-DE
M34229,Atanas PAPARIZOV,Bulgaria,PSE
M4528,Neil PARISH,United Kingdom,PPE-DE
M4309,Béatrice PATRIE,France,PSE
M28337,Bogdan PĘK,Poland,UEN
M34002,Maria PETRE,Romania,PPE-DE
M28249,Tobias PFLÜGER,Germany,GUE/NGL
M23848,Rihards PĪKS,Latvia,PPE-DE
M28381,João de Deus PINHEIRO,Portugal,PPE-DE
M28392,Józef PINIOR,Poland,PSE
M29073,Umberto PIRILLI,Italy,UEN
M28296,Paweł Bartłomiej PISKORSKI,Poland,ALDE
M28326,Francisca PLEGUEZUELOS AGUILAR,Spain,PSE
M28173,Zita PLEŠTINSKÁ,Slovakia,PPE-DE
M28391,Zdzisław Zbigniew PODKAŃSKI,Poland,UEN
M2340,Samuli POHJAMO,Finland,ALDE
M4311,Bernard POIGNANT,France,PSE
M28862,Lydie POLFER,Luxembourg,ALDE
M1882,José Javier POMÉS RUIZ,Spain,PPE-DE
M34727,Horst POSDORF,Germany,PPE-DE
M4239,Christa PRETS,Austria,PSE
M729,John PURVIS,United Kingdom,PPE-DE
M4461,Luís QUEIRÓ,Portugal,PPE-DE
M2206,Reinhard RACK,Austria,PPE-DE
M4292,Alexander RADWAN,Germany,PPE-DE
M28273,Ona RAINYTÉ-BODARD,Lithuania,ALDE
M28149,Poul Nyrup RASMUSSEN,Denmark,PSE
M28254,Karin RESETARITS,Austria,ALDE
M5570,José RIBEIRO E CASTRO,Portugal,PPE-DE
M1926,Karin RIIS-JØRGENSEN,Denmark,ALDE
M33611,Giovanni RIVERA,Italy,NonAttached
M28410,Marco RIZZO,Italy,GUE/NGL
M1977,Michel ROCARD,France,PSE
M28343,Bogusław ROGALSKI,Poland,UEN
M28457,Luca ROMAGNOLI,Italy,NonAttached
M28356,Wojciech ROSZKOWSKI,Poland,UEN
M1237,Mechtild ROTHE,Germany,PSE
M4313,Martine ROURE,France,PSE
M28378,Luisa Fernanda RUDI UBEDA,Spain,PPE-DE
M28376,Leopold Józef RUTOWICZ,Poland,UEN
M28113,Eoin RYAN,Ireland,UEN
M4425,Guido SACCONI,Italy,PSE
M28281,Aloyzas SAKALAS,Lithuania,PSE
M28361,María Isabel SALINAS GARCÍA,Spain,PSE
M4306,Gilles SAVARY,France,PSE
M23864,Toomas SAVI,Estonia,ALDE
M28172,Pierre SCHAPIRA,France,PSE
M4242,Karin SCHEELE,Austria,PSE
M28211,Lydia SCHENARDI,France,NonAttached
M2209,Agnes SCHIERHUBER,Austria,PPE-DE
M28237,Frithjof SCHMIDT,Germany,Verts/ALE
M1858,Jürgen SCHRÖDER,Germany,PPE-DE
M28245,Willem SCHUTH,Germany,ALDE
M28129,Inger SEGELSTRÖM,Sweden,PSE
M2304,Esko SEPPÄNEN,Finland,GUE/NGL
M28402,José Albino SILVA PENEDA,Portugal,PPE-DE
M28119,Kathy SINNOTT,Ireland,IND/DEM
M28319,Nina ŠKOTTOVÁ,Czechia,PPE-DE
M1970,María SORNOSA MARTÍNEZ,Spain,PSE
M4445,Sérgio SOUSA PINTO,Portugal,PSE
M684,Jean SPAUTZ,Luxembourg,PPE-DE
M28388,Grażyna STANISZEWSKA,Poland,ALDE
M28285,Margarita STARKEVIČIŪTĖ,Lithuania,ALDE
M1859,Ulrich STOCKMANN,Germany,PSE
M28339,Daniel STROŽ,Czechia,GUE/NGL
M28261,Alexander STUBB,Finland,PPE-DE
M4340,Margie SUDRE,France,PPE-DE
M28382,Andrzej Jan SZEJNA,Poland,PSE
M23830,István SZENT-IVÁNYI,Hungary,ALDE
M28980,Andres TARAND,Estonia,PSE
M1311,Gary TITLEY,United Kingdom,PSE
M24089,Witold TOMCZAK,Poland,IND/DEM
M28198,Jacques TOUBON,France,PPE-DE
M2182,Antonios TRAKATELLIS,Greece,PPE-DE
M28581,Evangelia TZAMPAZI,Greece,PSE
M4302,Feleknas UCA,Germany,GUE/NGL
M28573,Nikolaos VAKALIS,Greece,PPE-DE
M4241,Johan VAN HECKE,Belgium,ALDE
M1938,Anne VAN LANCKER,Belgium,PSE
M2000,Daniel VARELA SUANZES-CARPEGNA,Spain,PPE-DE
M28547,Ioannis VARVITSIOTIS,Greece,PPE-DE
M4256,Ari VATANEN,France,PPE-DE
M28175,Yannick VAUGRENARD,France,PSE
M28437,Riccardo VENTRE,Italy,PPE-DE
M36394,Donato Tommaso VERALDI,Italy,ALDE
M28439,Marcello VERNOLA,Italy,PPE-DE
M2306,Kyösti VIRRANKOSKI,Finland,ALDE
M2053,Johannes VOGGENHUBER,Austria,Verts/ALE
M28250,Sahra WAGENKNECHT,Germany,GUE/NGL
M1910,Ralf WALTER,Germany,PSE
M1952,Jan Marinus WIERSMA,Netherlands,PSE
M4276,Anders WIJKMAN,Sweden,PPE-DE
M28496,Thomas WISE,United Kingdom,NonAttached
M28144,Lars WOHLIN,Sweden,PPE-DE
M1224,Karl von WOGAU,Germany,PPE-DE
M34720,Bernard WOJCIECHOWSKI,Poland,IND/DEM
M28300,Zbigniew ZALESKI,Poland,PPE-DE
M28414,Mauro ZANI,Italy,PSE
M33946,Andrzej Tomasz ZAPAŁOWSKI,Poland,UEN
M4433,Stefano ZAPPALA',Italy,PPE-DE
M28351,Tomáš ZATLOUKAL,Czechia,PPE-DE
M28357,Vladimír ŽELEZNÝ,Czechia,IND/DEM
M28348,Josef ZIELENIEC,Czechia,PPE-DE
M28921,Jaroslav ZVĚŘINA,Czechia,PPE-DE
M1018,Francis WURTZ,France,GUE/NGL
M1040,Friedrich-Wilhelm GRAEFE zu BARINGDORF,Germany,Verts/ALE
M1002,Marco PANNELLA,Italy,ALDE
M2046,Guido PODESTÀ,Italy,PPE-DE
M28384,Bronisław GEREMEK,Poland,ALDE
M1866,Willi PIECYK,Germany,PSE
M28469,Adamos ADAMOU,Cyprus,GUE/NGL
M28213,Marie-Hélène AUBERT,France,Verts/ALE
M28427,Alessandro BATTILOCCHIO,Italy,PSE
M28205,Jean Marie BEAUPUY,France,ALDE
M28196,Irena BELOHORSKÁ,Slovakia,NonAttached
M28359,Jana BOBOŠÍKOVÁ,Czechia,NonAttached
M28140,Guy BONO,France,PSE
M28425,Alessandro FOGLIETTA,Italy,UEN
M28277,Stanisław JAŁOWIECKI,Poland,PPE-DE
M28355,Mieczysław Edmund JANOWSKI,Poland,UEN
M28222,Kurt Joachim LAUK,Germany,PPE-DE
M1832,Marianne THYSSEN,Belgium,PPE-DE
M28407,Willy MEYER,Spain,GUE/NGL
M4540,Philip BRADBOURN,United Kingdom,PPE-DE
M36583,Vincenzo AITA,Italy,GUE/NGL
M28512,Jim ALLISTER,United Kingdom,NonAttached
M28363,Alfonso ANDRIA,Italy,ALDE
M28578,Stavros ARNAOUTAKIS,Greece,PSE
M23938,John ATTARD-MONTALTO,Malta,PSE
M28342,Maria BADIA i CUTCHET,Spain,PSE
M28579,Katerina BATZELI,Greece,PSE
M28138,Zsolt László BECSEY,Hungary,PPE-DE
M1842,Rolf BEREND,Germany,PPE-DE
M1969,Johannes BLOKLAND,Netherlands,IND/DEM
M1275,Jens-Peter BONDE,Denmark,IND/DEM
M2048,Herbert BÖSCH,Austria,PSE
M28143,Bernadette BOURZAI,France,PSE
M4527,John BOWIS,United Kingdom,PPE-DE
M23713,Mihael BREJC,Slovenia,PPE-DE
M37761,Wolfgang BULFON,Austria,PSE
M4483,Ieke van den BURG,Netherlands,PSE
M4535,Philip BUSHILL-MATTHEWS,United Kingdom,PPE-DE
M4248,Philippe BUSQUIN,Belgium,PSE
M28324,Milan CABRNOCH,Czechia,PPE-DE
M28322,Joan CALABUIG RULL,Spain,PSE
M4536,Martin CALLANAN,United Kingdom,PPE-DE
M4439,Mogens CAMRE,Denmark,UEN
M28311,Luis Manuel CAPOULAS SANTOS,Portugal,PSE
M2031,Marie-Arlette CARLOTTI,France,PSE
M4447,Paulo CASACA,Portugal,PSE
M988,Carlo CASINI,Italy,PPE-DE
M4337,Alejandro CERCAS,Spain,PSE
M28274,Zdzisław Kazimierz CHMIELEWSKI,Poland,PPE-DE
M28325,Sylwester CHRUSZCZ,Poland,UEN
M4470,Luigi COCILOVO,Italy,ALDE
M1934,Daniel COHN-BENDIT,Germany,Verts/ALE
M4558,Dorette CORBEY,Netherlands,PSE
M4747,Paolo COSTA,Italy,ALDE
M28511,Bairbre de BRÚN,United Kingdom,GUE/NGL
M22097,Véronique DE KEYSER,Belgium,PSE
M23730,Panayiotis DEMETRIOU,Cyprus,PPE-DE
M22859,Marie-Hélène DESCAMPS,France,PPE-DE
M4318,Harlem DÉSIR,France,PSE
M4347,Christine DE VEYRAC,France,PPE-DE
M28272,Jolanta DIČKUTĖ,Lithuania,ALDE
M23747,Gintaras DIDŽIOKAS,Lithuania,UEN
M24029,Koenraad DILLEN,Belgium,NonAttached
M2185,Giorgos DIMITRAKOPOULOS,Greece,PPE-DE
M28637,Alexandra DOBOLYI,Hungary,PSE
M28157,Brigitte DOUAY,France,PSE
M4552,Den DOVER,United Kingdom,PPE-DE
M4382,Avril DOYLE,Ireland,PPE-DE
M1313,Bárbara DÜHRKOP DÜHRKOP,Spain,PSE
M2075,Michl EBNER,Italy,PPE-DE
M28127,Lena EK,Sweden,ALDE
M1419,James ELLES,United Kingdom,PPE-DE
M2286,Harald ETTL,Austria,PSE
M23695,Hynek FAJMON,Czechia,PPE-DE
M23840,Richard FALBR,Czechia,PSE
M28318,Emanuel Jardim FERNANDES,Portugal,PSE
M5735,Anne FERREIRA,France,PSE
M28336,Věra FLASAROVÁ,Czechia,GUE/NGL
M34930,Hanna FOLTYN-KUBICKA,Poland,UEN
M945,Nicole FONTAINE,France,PPE-DE
M1413,Glyn FORD,United Kingdom,PSE
M1993,Carmen FRAGA ESTÉVEZ,Spain,PPE-DE
M4254,Monica FRASSONI,Italy,Verts/ALE
M28403,Duarte FREITAS,Portugal,PPE-DE
M1264,Ingo FRIEDRICH,Germany,PPE-DE
M26833,Milan GAĽA,Slovakia,PPE-DE
M2001,Gerardo GALEOTE,Spain,PPE-DE
M28183,Patrick GAUBERT,France,PPE-DE
M28396,Luis HERRERO-TEJEDOR,Spain,PPE-DE
M28505,Roger KNAPMAN,United Kingdom,NonAttached
M4562,Giuseppe GARGANI,Italy,PPE-DE
M28283,Eugenijus GENTVILAS,Lithuania,ALDE
M34757,Roland GEWALT,Germany,PPE-DE
M24088,Maciej Marian GIERTYCH,Poland,NonAttached
M28570,Ioannis GKLAVAKIS,Greece,PPE-DE
M4429,Robert GOEBBELS,Luxembourg,PSE
M1845,Lutz GOEPEL,Germany,PPE-DE
M28373,Bogdan GOLIK,Poland,PSE
M1923,Alfred GOMOLKA,Germany,PPE-DE
M36395,Donata GOTTARDI,Italy,PSE
M28146,Hélène GOUDIN,Sweden,IND/DEM
M23717,Genowefa GRABOWSKA,Poland,PSE
M28332,Dariusz Maciej GRABOWSKI,Poland,UEN
