Id,FullName,Country,GroupID
M1933,Elisabeth SCHROEDTER,Germany,Verts/ALE
M96731,Werner SCHULZ,Germany,Verts/ALE
M96843,Marco SCURRIA,Italy,PPE
M28252,Richard SEEBER,Austria,PPE
M96789,Joanna SENYSZYN,Poland,S&D
M33990,Adrian SEVERIN,Romania,NonAttached
M96755,Sergio Paolo Francesco SILVESTRIS,Italy,PPE
M1309,Brian SIMPSON,United Kingdom,S&D
M28380,Marek SIWIEC,Poland,S&D
M2081,Peter SKINNER,United Kingdom,S&D
M96770,Joanna Katarzyna SKRZYDLEWSKA,Poland,PPE
M97018,Theodoros SKYLAKAKIS,Greece,ALDE
M37676,Søren Bo SØNDERGAARD,Denmark,GUE/NGL
M28299,Bogusław SONIK,Poland,PPE
M997,Francesco Enrico SPERONI,Italy,EFD
M96905,Laurence J.A.J. STASSEN,Netherlands,NonAttached
M28170,Peter ŠŤASTNÝ,Slovakia,PPE
M97008,Georgios STAVRAKAKIS,Greece,S&D
M4546,Struan STEVENSON,United Kingdom,ECR
M34254,Dimitar STOYANOV,Bulgaria,NonAttached
M28320,Ivo STREJČEK,Czechia,ECR
M96860,Michèle STRIFFLER,France,PPE
M2037,Robert STURDY,United Kingdom,ECR
M23820,László SURJÁN,Hungary,PPE
M96678,Alf SVENSSON,Sweden,PPE
M2295,Hannes SWOBODA,Austria,S&D
M28358,Konrad SZYMAŃSKI,Poland,ECR
M23808,Csaba Sándor TABAJDI,Hungary,S&D
M1945,Salvatore TATARELLA,Italy,PPE
M96821,Rui TAVARES,Portugal,Verts/ALE
M96974,Nuno TEIXEIRA,Portugal,PPE
M96874,Alexandra THEIN,Germany,ALDE
M28153,Britta THOMSEN,Denmark,S&D
M36281,Silvia-Adriana ȚICĂU,Romania,S&D
M97026,Patrice TIROLIEN,France,S&D
M1129,Catherine TRAUTMANN,France,S&D
M28514,Kyriacos TRIANTAPHYLLIDES,Cyprus,GUE/NGL
M96773,Rafał TRZASKOWSKI,Poland,PPE
M96898,Ioannis A. TSOUKALAS,Greece,PPE
M96703,Emilie TURUNEN,Denmark,S&D
M96660,Niki TZAVELA,Greece,EFD
M97131,Giommaria UGGIAS,Italy,ALDE
M28221,Thomas ULMER,Germany,PPE
